Unnamed: 0,smiles,CIDs,ROMol,affinity
37,C1CCC23CCNC(C2C1)CC4=C3C=C(C=C4)O,11791385,<rdkit.Chem.rdchem.Mol object at 0x1b74f8970>,-4.64522123
38,C1CC2=CC(=C(C=C2C3C1NCC4=CC=CC=C34)O)O,6603820,<rdkit.Chem.rdchem.Mol object at 0x1b74f89e0>,-5.48970747
39,CN1CCC23CC(CCC2(C1CC4=C3C(=C(C=C4)OC)OC)O)O,5463863,<rdkit.Chem.rdchem.Mol object at 0x1b74f8a50>,-4.98876524
40,CC1C2CC3=C(C1(CCN2CCC4=CC=CC=C4)C)C=C(C=C3)O,3048356,<rdkit.Chem.rdchem.Mol object at 0x1b74f8ac0>,-4.81325006
41,COC1=C(C=C2CC3C4=C(C2=C1)C(=C(C=C4CCN3)O)OC)O,628557,<rdkit.Chem.rdchem.Mol object at 0x1b74f8b30>,-5.35872984
42,CCC12CCN(C(C1(C)C)CC3=C2C=C(C=C3)O)CC4(CC4)O,443406,<rdkit.Chem.rdchem.Mol object at 0x1b74f8ba0>,-5.05577707
43,CC1C2CC3=C(C1(CCN2C)C)C=C(C=C3)O,443404,<rdkit.Chem.rdchem.Mol object at 0x1b74f8c10>,-4.80043554
44,CN1CCC2=CC(=C(C3=C2C1CC4=CC=CC=C43)O)OC,286866,<rdkit.Chem.rdchem.Mol object at 0x1b74f8c80>,-5.19161558
45,C1CNC2CC3=C(C=CC(=C3)O)C4=C2C1=CC5=C4OCO5,164710,<rdkit.Chem.rdchem.Mol object at 0x1b74f8cf0>,-5.15539265
46,COC1=C(C2=C3C(CC4=CC(=C(C=C42)OC)O)NCCC3=C1)OC,31415,<rdkit.Chem.rdchem.Mol object at 0x1b74f8d60>,-5.21984768
47,CCCN1CCC2=C3C1CC4=C(C3=CC=C2)C(=C(C=C4)O)O,30137,<rdkit.Chem.rdchem.Mol object at 0x1b74f8dd0>,-5.26185799
48,CC1C2CC3=C(C1(CCN2)C)C=C(C=C3)O,1208,<rdkit.Chem.rdchem.Mol object at 0x1b74f8e40>,-4.63147068
49,CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)OC,25052519,<rdkit.Chem.rdchem.Mol object at 0x1b74f8eb0>,-4.51208496
50,CC1CC2=C(C(N1C)C)C(=C(C=C2)C3=C4C=CC=C(C4=C(C=C3C)OC)OC)O,14844756,<rdkit.Chem.rdchem.Mol object at 0x1b74f8f20>,-5.91588593
51,CC1C2CC3=C(C1(CCN2CCC4=CC=CC=C4)C)C=C(C=C3)O.Br,13501022,<rdkit.Chem.rdchem.Mol object at 0x1b74f8f90>,NaN
52,COC1=C(C2=C(CC3C4=C2C(=C(C=C4CCN3)OC)OC)C=C1)O,12313549,<rdkit.Chem.rdchem.Mol object at 0x1b74f9000>,-5.15102816
53,COC1=C(C=CC2=C1C3=C4C(C2)NCCC4=CC(=C3OC)O)O,10425723,<rdkit.Chem.rdchem.Mol object at 0x1b74f9070>,-4.60551739
54,CC(CN1CCC2(C3=C(CC1C2(C)C)C(=CC=C3)O)C)OCC4=CC=CC=C4,9886143,<rdkit.Chem.rdchem.Mol object at 0x1b74f90e0>,-5.0377984
55,C1CCC23CCN(C(C2C1)CC4=C3C=C(C=C4)O)CC5CCC5,9804450,<rdkit.Chem.rdchem.Mol object at 0x1b74f9150>,-4.71270895
56,CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)OC,6916184,<rdkit.Chem.rdchem.Mol object at 0x1b74f91c0>,-4.50249529
57,COC1=CC2=C(CC3C4C2(CCCC4)CCN3)C=C1,5484286,<rdkit.Chem.rdchem.Mol object at 0x1b74f9230>,-4.31353426
58,CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)OC,5359423,<rdkit.Chem.rdchem.Mol object at 0x1b74f92a0>,-4.52907181
59,CC1C2CC3=C(C1(CCN2CCC4=CC=CC=C4)C)C=C(C=C3)O,5311353,<rdkit.Chem.rdchem.Mol object at 0x1b74f9310>,-5.38348532
60,CC1C2CC3=C(C1(CCN2CC4CC4)C)C=C(C=C3)O,3037926,<rdkit.Chem.rdchem.Mol object at 0x1b74f9380>,-4.40590334
61,CN1CCC2=CC(=C(C3=C2C1CC4=CC=CC=C43)O)OC,821343,<rdkit.Chem.rdchem.Mol object at 0x1b74f93f0>,-5.12948275
62,COC1=C(C2=C3C(CC4=CC=CC=C42)NCCC3=C1)OC,624491,<rdkit.Chem.rdchem.Mol object at 0x1b74f9460>,-4.73755264
63,CC1CC2=C(C(=CC(=C2C(N1)C)O)O)C3=C4C=C(C=C(C4=C(C=C3)O)OC)C,392421,<rdkit.Chem.rdchem.Mol object at 0x1b74f94d0>,-5.826931
